k_value,distance_algo,number_of_labels,training_test_pair,average_accuracy,std_accuracy,computation_time
3,euclidean,10,150_20,0.964,0.028354894,11.86978745
3,euclidean,10,100_70,0.966857143,0.008916849,34.29353976
3,euclidean,7,150_20,0.964285714,0.024327695,5.741785526
3,euclidean,7,100_70,0.967346939,0.009744764,12.97464204
3,euclidean,5,150_20,0.978,0.019390719,2.56899333
3,euclidean,5,100_70,0.974285714,0.010991648,6.317075014
3,manhattan,10,150_20,0.976,0.02596151,11.45842791
3,manhattan,10,100_70,0.971428571,0.009938587,30.75575542
3,manhattan,7,150_20,0.98,0.019897698,5.626064539
3,manhattan,7,100_70,0.97755102,0.006453628,13.52468324
3,manhattan,5,150_20,0.984,0.023323808,2.544999361
3,manhattan,5,100_70,0.984,0.006904598,6.378577471
3,cosine,10,150_20,0.964,0.028354894,0.566962242
3,cosine,10,100_70,0.966857143,0.008916849,1.515069485
3,cosine,7,150_20,0.964285714,0.024327695,0.261070967
3,cosine,7,100_70,0.967346939,0.009744764,0.565040827
3,cosine,5,150_20,0.978,0.019390719,0.137072563
3,cosine,5,100_70,0.974285714,0.010991648,0.296000957
5,euclidean,10,150_20,0.956,0.032771939,11.1764605
5,euclidean,10,100_70,0.957428571,0.010277775,30.02995467
5,euclidean,7,150_20,0.945714286,0.032763843,5.417983055
5,euclidean,7,100_70,0.95755102,0.009253701,12.53572536
5,euclidean,5,150_20,0.952,0.023151674,2.520011663
5,euclidean,5,100_70,0.965714286,0.007876599,6.295675755
5,manhattan,10,150_20,0.971,0.025573424,11.27806163
5,manhattan,10,100_70,0.959714286,0.008398251,30.91273713
5,manhattan,7,150_20,0.97,0.030101868,5.429080486
5,manhattan,7,100_70,0.966122449,0.004202298,12.76657367
5,manhattan,5,150_20,0.966,0.032619013,2.581997156
5,manhattan,5,100_70,0.972571429,0.005598834,6.254004478
5,cosine,10,150_20,0.956,0.032771939,0.587998629
5,cosine,10,100_70,0.957428571,0.010277775,1.487068415
5,cosine,7,150_20,0.945714286,0.032763843,0.261074066
5,cosine,7,100_70,0.95755102,0.009253701,0.569140911
5,cosine,5,150_20,0.952,0.023151674,0.132978678
5,cosine,5,100_70,0.965714286,0.007876599,0.289024353
7,euclidean,10,150_20,0.934,0.036796739,11.17679763
7,euclidean,10,100_70,0.945714286,0.009646825,30.17545629
7,euclidean,7,150_20,0.932857143,0.036027201,5.496430397
7,euclidean,7,100_70,0.949387755,0.007459456,12.62847161
7,euclidean,5,150_20,0.942,0.036551334,2.692083597
7,euclidean,5,100_70,0.956,0.007580857,6.29107213
7,manhattan,10,150_20,0.949,0.038,11.25424266
7,manhattan,10,100_70,0.947428571,0.008494896,30.09171772
7,manhattan,7,150_20,0.957142857,0.036421568,5.513078213
7,manhattan,7,100_70,0.955918367,0.005258816,13.00124907
7,manhattan,5,150_20,0.964,0.029393877,2.622998714
7,manhattan,5,100_70,0.962857143,0.010991648,6.625798464
7,cosine,10,150_20,0.934,0.036796739,0.586009502
7,cosine,10,100_70,0.945714286,0.009646825,1.681000948
7,cosine,7,150_20,0.932857143,0.036027201,0.274778128
7,cosine,7,100_70,0.949387755,0.007459456,0.593078136
7,cosine,5,150_20,0.942,0.036551334,0.144002199
7,cosine,5,100_70,0.956,0.007580857,0.304011583
9,euclidean,10,150_20,0.929,0.043289722,10.99733949
9,euclidean,10,100_70,0.939428571,0.00855236,29.61734819
9,euclidean,7,150_20,0.928571429,0.042136803,5.180986404
9,euclidean,7,100_70,0.93877551,0.005476085,12.456429
9,euclidean,5,150_20,0.93,0.038470768,2.497987509
9,euclidean,5,100_70,0.949142857,0.007751234,6.143157959
9,manhattan,10,150_20,0.947,0.034292856,10.87592149
9,manhattan,10,100_70,0.943142857,0.011371285,29.50047207
9,manhattan,7,150_20,0.951428571,0.034522988,5.369966745
9,manhattan,7,100_70,0.949795918,0.007914579,12.36782646
9,manhattan,5,150_20,0.966,0.028,2.477998972
9,manhattan,5,100_70,0.958285714,0.008590455,6.169733524
9,cosine,10,150_20,0.929,0.043289722,0.60297823
9,cosine,10,100_70,0.939428571,0.00855236,1.562114
9,cosine,7,150_20,0.928571429,0.042136803,0.26600337
9,cosine,7,100_70,0.93877551,0.005476085,0.598054171
9,cosine,5,150_20,0.93,0.038470768,0.142923594
9,cosine,5,100_70,0.949142857,0.007751234,0.31099844
11,euclidean,10,150_20,0.925,0.036193922,10.79406953
11,euclidean,10,100_70,0.932,0.006490181,29.62733269
11,euclidean,7,150_20,0.922857143,0.039227229,5.345994234
11,euclidean,7,100_70,0.931428571,0.007592276,12.44888401
11,euclidean,5,150_20,0.928,0.03544009,2.481081009
11,euclidean,5,100_70,0.941142857,0.008778452,6.165322542
11,manhattan,10,150_20,0.95,0.032710854,10.90400028
11,manhattan,10,100_70,0.939142857,0.009629885,29.89663076
11,manhattan,7,150_20,0.955714286,0.029760952,5.562819481
11,manhattan,7,100_70,0.948163265,0.008998126,12.53686714
11,manhattan,5,150_20,0.966,0.030724583,2.569075346
11,manhattan,5,100_70,0.956571429,0.007091242,6.100990534
11,cosine,10,150_20,0.925,0.036193922,0.579986334
11,cosine,10,100_70,0.932,0.006490181,1.558004856
11,cosine,7,150_20,0.922857143,0.039227229,0.273998499
11,cosine,7,100_70,0.931428571,0.007592276,0.639207363
11,cosine,5,150_20,0.928,0.03544009,0.145042419
11,cosine,5,100_70,0.941142857,0.008778452,0.300001144
