k_value,distance_algo,number_of_labels,training_test_pair,average_accuracy,std_accuracy,computation_time
3,euclidean,10,150_20,0.968,0.029765752132274406,1.9710853099822998
3,euclidean,10,100_70,0.95,0.010766539246523868,5.161567211151123
3,euclidean,7,150_20,0.97,0.031102201510110342,0.8449630737304688
3,euclidean,7,100_70,0.959591836734694,0.009607022282399858,1.6648895740509033
3,euclidean,5,150_20,0.9700000000000001,0.03286335345030994,0.4409980773925781
3,euclidean,5,100_70,0.9662857142857144,0.00775123426642886,0.8509981632232666
3,manhattan,10,150_20,0.962,0.03749666651850533,1.628000020980835
3,manhattan,10,100_70,0.9694285714285714,0.006916410535377262,3.6060895919799805
3,manhattan,7,150_20,0.9585714285714285,0.036533462435841234,0.7651011943817139
3,manhattan,7,100_70,0.966938775510204,0.0047248313888939835,1.6770071983337402
3,manhattan,5,150_20,0.966,0.03261901286060017,0.36907100677490234
3,manhattan,5,100_70,0.9777142857142858,0.005827450872677491,0.9170863628387451
3,cosine,10,150_20,0.968,0.029765752132274406,0.13901758193969727
3,cosine,10,100_70,0.95,0.010766539246523868,0.3510313034057617
3,cosine,7,150_20,0.97,0.031102201510110342,0.0662696361541748
3,cosine,7,100_70,0.959591836734694,0.009607022282399858,0.14792895317077637
3,cosine,5,150_20,0.9700000000000001,0.03286335345030994,0.03407120704650879
3,cosine,5,100_70,0.9662857142857144,0.00775123426642886,0.07592988014221191
5,euclidean,10,150_20,0.943,0.029427877939124294,1.57350754737854
5,euclidean,10,100_70,0.9359999999999999,0.01259737582002776,4.471261501312256
5,euclidean,7,150_20,0.9471428571428572,0.034285714285714294,0.8367807865142822
5,euclidean,7,100_70,0.9383673469387755,0.0077872587870770945,2.0249979496002197
5,euclidean,5,150_20,0.944,0.0377359245282264,0.41096973419189453
5,euclidean,5,100_70,0.9411428571428573,0.010629185850136178,0.9591662883758545
5,manhattan,10,150_20,0.9480000000000001,0.03529872518944556,1.8133251667022705
5,manhattan,10,100_70,0.9611428571428571,0.008251159473253495,4.519724130630493
5,manhattan,7,150_20,0.9514285714285714,0.037361990944634334,0.9341201782226562
5,manhattan,7,100_70,0.9628571428571429,0.006878489610756228,2.0889012813568115
5,manhattan,5,150_20,0.958,0.03544009029333869,0.4158768653869629
5,manhattan,5,100_70,0.9725714285714286,0.00559883369779012,1.0516653060913086
5,cosine,10,150_20,0.943,0.029427877939124294,0.2206735610961914
5,cosine,10,100_70,0.9359999999999999,0.01259737582002776,0.6728522777557373
5,cosine,7,150_20,0.9471428571428572,0.034285714285714294,0.11938714981079102
5,cosine,7,100_70,0.9383673469387755,0.0077872587870770945,0.1885998249053955
5,cosine,5,150_20,0.944,0.0377359245282264,0.05731987953186035
5,cosine,5,100_70,0.9411428571428573,0.010629185850136178,0.12517738342285156
7,euclidean,10,150_20,0.9359999999999999,0.033970575502926044,1.8760323524475098
7,euclidean,10,100_70,0.914,0.01731815138364768,4.8593056201934814
7,euclidean,7,150_20,0.9357142857142857,0.034106675389466636,1.0364205837249756
7,euclidean,7,100_70,0.9175510204081633,0.014750457958851134,2.354269504547119
7,euclidean,5,150_20,0.942,0.03544009029333868,0.4888455867767334
7,euclidean,5,100_70,0.9308571428571428,0.015053645568365134,1.0247111320495605
7,manhattan,10,150_20,0.9390000000000001,0.03455430508634197,1.9846186637878418
